Company,Ticker,Year,BESG ESG Score,BESG Environmental Pillar Score,BESG Social Pillar Score,BESG Governance Pillar Score,ESG Disclosure Score,Environmental Disclosure Score,Social Disclosure Score,Governance Disclosure Score,Nitrogen Oxide Emissions,Risks of Climate Change Discussed,GHG Scope 1,GHG Scope 2 Location-Based,Policy Against Child Labor,Pct Women in Workforce,Fatalities - Employees,Fatalities - Total,Total Recordable Incident Rate - Employees,Number of Employees - CSR,Years Auditor Employed,Size of Audit Committee,Number of Independent Directors on Audit Committee,Audit Committee Meetings,Audit Committee Meeting Attendance Percentage,Board Size,Number of Executives / Company Managers,Number of Non Executive Directors on Board,Number of Board Meetings for the Year,Board Meeting Attendance Pct,Size of Compensation Committee,Num of Independent Directors on Compensation Cmte,Number of Compensation Committee Meetings,Compensation Committee Meeting Attendance %,Number of Female Executives,Number of Women on Board,Age of the Youngest Director,Age of the Oldest Director,Number of Independent Directors,Size of Nomination Committee,Num of Independent Directors on Nomination Cmte,Number of Nomination Committee Meetings,Nomination Committee Meeting Attendance Percentage,Board Duration (Years),Total Energy Consumption,Total Water Withdrawal,Human Rights Policy,Equal Opportunity Policy,Business Ethics Policy,Anti-Bribery Ethics Policy,Health and Safety Policy,Training Policy,Social Supply Chain Management,Emissions Reduction Initiatives,Climate Change Policy,Climate Change Opportunities Discussed,Energy Efficiency Policy,Waste Reduction Policy,Environmental Supply Chain Management,Water Policy,Biodiversity Policy,Fair Remuneration Policy,Verification Type,Employee CSR Training,Market Cap Category,Country
Advantage Energy Ltd,AAV,2016,2.01,0.72,0.62,7.41,34.343,2.839,15.024,84.979,22.403380067567568,False,144.75,234.60007450980393,False,26.508317841079464,0.20775193798449612,0.9289256198347108,0.84,27.0,10.0,3.0,3.0,4.0,100.0,6.0,3.0,5.0,8.0,95.83,5.0,5.0,2.0,100.0,0.0,1.0,49.0,75.0,5.0,5.0,5.0,2.0,100.0,1.0,341.7038493150685,423.77154455445543,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Small Cap,Canada
Advantage Energy Ltd,AAV,2017,2.02,0.82,0.54,7.32,34.735,4.017,15.024,84.979,22.403380067567568,False,173.327,234.60007450980393,False,26.508317841079464,0.20775193798449612,0.9289256198347108,1.04,29.0,11.0,3.0,3.0,4.0,100.0,6.0,3.0,5.0,9.0,100.0,5.0,5.0,3.0,100.0,0.0,1.0,50.0,76.0,5.0,5.0,5.0,3.0,100.0,1.0,341.7038493150685,423.77154455445543,False,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,Small Cap,Canada
Advantage Energy Ltd,AAV,2018,3.37,2.26,2.28,7.07,49.683,24.524,39.42,84.979,0.302,False,207.82,0.271,False,31.0,0.0,0.0,0.0,34.0,12.0,3.0,3.0,4.0,100.0,6.0,5.0,5.0,10.0,96.66,5.0,5.0,5.0,88.0,0.0,1.0,51.0,77.0,5.0,5.0,5.0,5.0,88.0,1.0,929.061,12.036,False,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,Small Cap,Canada
Advantage Energy Ltd,AAV,2019,3.14,2.04,1.94,7.08,49.11,29.085,39.42,78.718,0.331,False,242.04,0.277,False,18.0,0.0,0.0,2.94,39.0,13.0,3.0,3.0,4.0,100.0,6.0,5.0,5.0,15.0,96.66,5.0,5.0,3.0,100.0,0.0,1.0,52.0,78.0,5.0,4.0,4.0,4.5834522111269616,93.79323809523811,1.0,341.7038493150685,150.482,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Small Cap,Canada
Advantage Energy Ltd,AAV,2020,4.4,2.68,4.89,7.38,50.015,30.686,39.42,79.831,0.504,False,284.093,2.303,False,18.0,0.0,0.0,0.0,39.0,14.0,4.0,4.0,4.0,100.0,7.0,6.0,6.0,14.0,93.34091862068965,4.0,4.0,5.0,93.96819696969696,0.0,1.0,53.0,79.0,6.0,4.0,4.0,2.0,100.0,1.0,341.7038493150685,84.492,False,True,True,True,True,True,False,True,False,False,True,False,False,True,False,False,False,False,Small Cap,Canada
Advantage Energy Ltd,AAV,2021,3.73,2.39,3.2,7.17,50.609,27.303,39.42,84.979,0.813,False,323.274,3.144,False,21.0,0.0,0.0,0.0,42.0,15.0,6.0,6.0,4.0,100.0,8.0,6.0,7.0,23.0,99.45,4.0,4.0,4.0,100.0,0.0,2.0,50.0,80.0,7.0,5.0,5.0,2.0,100.0,1.0,341.7038493150685,396.681,False,True,True,True,True,True,False,True,False,False,True,False,False,True,False,False,False,False,Small Cap,Canada
Advantage Energy Ltd,AAV,2022,4.07,2.8,3.58,7.23,63.424,44.971,53.96,91.24,0.527,False,327.349,3.125,False,25.0,0.0,0.0,0.0,53.0,16.0,6.0,6.0,4.0,100.0,9.0,5.0,7.0,13.0,98.14,4.0,4.0,2.0,100.0,0.0,3.0,48.0,72.0,7.0,6.0,6.0,4.0,95.45,1.0,341.7038493150685,623.933,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,False,Small Cap,Canada
Ampol Ltd,ALD,2015,3.21,1.98,2.52,6.66,40.127,23.86,20.163,76.219,0.882,False,938.697,197.97,False,38.0,0.0,0.9289256198347108,0.5663528455284552,382.0677083333333,21.621951219512194,4.0,4.0,4.0,100.0,7.0,7.0,6.0,10.0,100.0,4.0,4.0,4.0,100.0,0.0,2.0,50.06,72.24714285714286,6.0,6.0,6.0,4.0,100.0,3.0,341.7038493150685,423.77154455445543,False,True,True,True,True,True,False,True,True,False,True,True,False,False,False,False,False,False,Mid Cap,Australia
Ampol Ltd,ALD,2016,3.42,2.8,1.93,6.57,45.156,34.008,25.121,76.219,0.994,False,733.537,178.273,False,39.0,0.0,0.9289256198347108,0.5663528455284552,382.0677083333333,21.621951219512194,3.0,3.0,4.0,100.0,7.0,7.0,6.0,17.0,96.639,3.0,3.0,4.0,100.0,3.0,2.0,50.06,72.24714285714286,6.0,6.0,6.0,4.0,100.0,3.0,341.7038493150685,423.77154455445543,False,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,Mid Cap,Australia
Ampol Ltd,ALD,2017,2.96,2.03,1.85,6.3,43.849,23.86,31.348,76.219,0.983,False,737.663,183.784,False,39.0,1.0,0.9289256198347108,0.5663528455284552,382.0677083333333,21.621951219512194,4.0,4.0,4.0,100.0,7.0,9.0,6.0,25.0,98.8,3.0,3.0,5.0,100.0,3.0,3.0,50.06,72.24714285714286,6.0,6.0,6.0,4.0,95.65,3.0,341.7038493150685,423.77154455445543,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,Mid Cap,Australia
