,,,,,,,,,,,
List Manager - Companies,,,,,,,,,,,
List Name,BC3406 Project,,,,,,,,,,
Entity Type,Company -> Companies,Owner,HsunWen Sun,,,,,,,,
List Description,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Company,Ticker,Source,Market Cap ($M),Price ($),YTD Price Change (%),PE (x),,,,,
Texas Oil & Chemical Co. II Inc.,-,Static,-,-,-,-,,,,,
TGS ASA (OB:TGS),TGS (OB),Static,1989.5,10.14,-0.5,-,,,,,
"Tokyo Gas Co.,Ltd. (TSE:9531)",9531 (TSE),Static,11923.6,31.53,7.8,-,,,,,
TotalEnergies SE (ENXTPA:TTE),TTE (ENXTPA),Static,136561.9,60.74,8.9,-,,,,,
Tourmaline Oil Corp. (TSX:TOU),TOU (TSX),Static,18342.8,49.09,4.8,-,,,,,
Transocean Ltd. (NYSE:RIG),RIG (NYSE),Static,2953.1,3.36,-10.4,-,,,,,
Valero Energy Corporation (NYSE:VLO),VLO (NYSE),Static,42656.7,134.74,9.9,-,,,,,
Veren Inc. (TSX:VRN),VRN (TSX),Static,3084.2,5.01,-3.7,-,,,,,
Vermilion Energy Inc. (TSX:VET),VET (TSX),Static,1380.5,8.93,-6.2,-,,,,,
Vistra Corp. (NYSE:VST),VST (NYSE),Static,51183.6,150.44,9.1,28.07,,,,,
"Vital Energy, Inc. (NYSE:VTLE)",VTLE (NYSE),Static,1044.3,28.76,-7,-,,,,,
Viva Energy Group Limited (ASX:VEA),VEA (ASX),Static,2471.2,1.56,-7.2,-,,,,,
Vivo Energy Limited (LSE:VVO),VVO (LSE),Static,-,-,-,-,,,,,
Weatherford International plc (NASDAQGS:WFRD),WFRD (NASDAQGS),Static,4770,65.48,-8.6,-,,,,,
"Western Midstream Partners, LP (NYSE:WES)",WES (NYSE),Static,15652.2,41.13,7,10.49,,,,,
Westlake Chemical Partners LP (NYSE:WLKP),WLKP (NYSE),Static,853.5,24.22,4.7,-,,,,,
Westshore Terminals Investment Corporation (TSX:WTE),WTE (TSX),Static,1021,16.53,4.2,-,,,,,
Whitecap Resources Inc. (TSX:WCP),WCP (TSX),Static,4127.3,7.03,-2.2,-,,,,,
Woodside Energy Group Ltd (ASX:WDS),WDS (ASX),Static,28096.9,14.8,-5.7,-,,,,,
YPF Sociedad Anónima (BASE:YPFD),YPFD (BASE),Static,16830.8,42.79,-9.9,-,,,,,
,,,,,,,,,,,
