Company,Ticker,Year,BESG ESG Score,BESG Environmental Pillar Score,BESG Social Pillar Score,BESG Governance Pillar Score,ESG Disclosure Score,Environmental Disclosure Score,Social Disclosure Score,Governance Disclosure Score,Nitrogen Oxide Emissions,VOC Emissions,Particulate Emissions,Sulphur Dioxide / Sulphur Oxide Emissions,Risks of Climate Change Discussed,GHG Scope 1,GHG Scope 2 Location-Based,GHG Scope 3,Carbon per Unit of Production,Fuel Used - Natural Gas,Energy Per Unit of Production,Policy Against Child Labor,Community Spending,Gender Pay Gap Breakout,Pct Women in Middle and or Other Management,Pct Women in Workforce,Fatalities - Employees,Fatalities - Contractors,Fatalities - Total,Lost Time Incident Rate - Employees,Lost Time Incident Rate - Contractors,Lost Time Incident Rate - Workforce,Total Recordable Incident Rate - Employees,Total Recordable Incident Rate - Contractors,Total Recordable Incident Rate - Workforce,Number of Employees - CSR,Number of Contractors,Employee Turnover Pct,Years Auditor Employed,Size of Audit Committee,Number of Independent Directors on Audit Committee,Audit Committee Meetings,Audit Committee Meeting Attendance Percentage,Board Size,Number of Executives / Company Managers,Number of Non Executive Directors on Board,Number of Board Meetings for the Year,Board Meeting Attendance Pct,Size of Compensation Committee,Num of Independent Directors on Compensation Cmte,Number of Compensation Committee Meetings,Compensation Committee Meeting Attendance %,Number of Female Executives,Number of Women on Board,Board Age Limit,Age of the Youngest Director,Age of the Oldest Director,Number of Independent Directors,Size of Nomination Committee,Num of Independent Directors on Nomination Cmte,Number of Nomination Committee Meetings,Nomination Committee Meeting Attendance Percentage,Board Duration (Years),Carbon Monoxide Emissions,CO2 Scope 1,Scope of Disclosure,Total Energy Consumption,Electricity Used,Total Waste,Waste Recycled,Waste Sent to Landfills,Total Water Withdrawal,Total Water Discharged,Water Consumption,Human Rights Policy,Equal Opportunity Policy,Pct Women in Senior Management,Pct Minorities in Workforce,Business Ethics Policy,Anti-Bribery Ethics Policy,Health and Safety Policy,Training Policy,Pct Employees Unionized,Employee Training Cost,Total Hours Spent by Firm - Employee Training,Social Supply Chain Management,Emissions Reduction Initiatives,Climate Change Policy,Climate Change Opportunities Discussed,Energy Efficiency Policy,Fuel Used - Coal/Lignite,Fuel Used - Crude Oil/Diesel,Waste Reduction Policy,Hazardous Waste,Environmental Supply Chain Management,Water Policy,Biodiversity Policy,Quality Assurance and Recall Policy,Consumer Data Protection Policy,Fair Remuneration Policy,Verification Type,Employee CSR Training,Renewable Energy Use,80%+ Workforce Gender Pay Gap Waterfall,Political Donations,Company Conducts Board Evaluations,Company Has Executive Share Ownership Guidelines,Director Share Ownership Guidelines,GHG Scope 2 Market-Based,Self Generated Renewable Electricity,Pct Minorities in Management,Pct Disabled in Workforce,Percentage Gender Pay Gap for Senior Management,Percentage Gender Pay Gap Mid & Other Management,CO2 Scope 2 Location-Based,Water per Unit of Production,Pct Recycled Materials,Number of Suppliers Audited,Percentage Suppliers Audited,Number of Supplier Audits Conducted,Number Supplier Facilities Audited,Percentage of Suppliers in Non-Compliance,ODS Emissions,Number of Customer Complaints,Transition Plan Claim,Adopts TNFD Recommendations,Zero Deforestation Policy,Board Level Oversight of Biodiversity,Executive Level Oversight of Biodiversity,Company Discloses Employee Engagement Score,Indep Directors,Raw Materials Used,Percentage Gender Pay Gap Employees Ex Management,Percentage Raw Material from Sustainable Sources,"Revenue, Adj","Net Income, Adj",Margin %,"EPS, Adj",Market Cap ($M),Market Cap Category
Keyera Corp,KEY,2009,,,,,30.17,4.26,8.04,78.03,,,,,No,"1,352.7",246.4,,,,,,0.1,,,,,,,,,,,,,,,,7.00,4.00,4.00,4.00,100.00,8.00,5.00,7.00,8.00,95.31,4.00,4.00,3.00,100.00,0.00,1.00,,,,7.00,4.00,4.00,3.00,100.00,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6826.7,Mid Cap
Keyera Corp,KEY,2010,,,,,29.75,4.59,6.44,78.03,,,,,No,"1,480.4",276.7,,,,,,,,,,,,,,,,,,,598.00,,,8.00,4.00,4.00,4.00,100.00,8.00,10.00,7.00,8.00,100.00,4.00,4.00,6.00,95.75,0.00,1.00,,,,7.00,4.00,4.00,6.00,95.75,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6826.7,Mid Cap
Keyera Corp,KEY,2011,,,,,31.13,4.59,10.61,78.03,,,,,No,"1,462.7",216.8,,,,,,0.0,,,,,,,,,,,,,720.00,,,9.00,4.00,4.00,4.00,88.00,8.00,11.00,7.00,8.00,92.18,4.00,4.00,4.00,94.00,1.00,1.00,,,,7.00,4.00,4.00,4.00,94.00,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6826.7,Mid Cap
Keyera Corp,KEY,2012,,,,,30.78,4.92,9.22,78.03,,,,,No,"1,707.9",346.1,,,,,,,,,,,,,,,,,,,729.00,,,10.00,4.00,4.00,4.00,94.00,7.00,11.00,6.00,7.00,98.00,3.00,3.00,4.00,100.00,1.00,1.00,,,,6.00,3.00,3.00,4.00,100.00,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6826.7,Mid Cap
Keyera Corp,KEY,2013,,,,,33.94,11.84,11.79,78.03,,,,,No,"1,685.5",363.1,2.8,,"514,306.0",,,,,,,,,,,,,,,,778.00,,,11.00,4.00,4.00,4.00,94.00,9.00,12.00,8.00,10.00,98.00,4.00,4.00,4.00,100.00,2.00,1.00,,,,8.00,4.00,4.00,4.00,100.00,1.00,,,1.00,"5,764.3",399.0,,,,,,,,,,,,,,,19.00,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6826.7,Mid Cap
Keyera Corp,KEY,2014,,,,,32.83,1.00,11.79,85.52,,,,,No,,,,,,,,,,,,,,,,,,,,,900.00,,,12.00,4.00,4.00,4.00,100.00,9.00,13.00,8.00,10.00,99.00,4.00,4.00,5.00,100.00,2.00,1.00,72.00,58.00,78.00,8.00,4.00,4.00,5.00,100.00,1.00,,,,,,,,,,,,,,,,,,,,16.66,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6826.7,Mid Cap
Keyera Corp,KEY,2015,2.96,0.98,1.91,7.73,36.26,5.16,15.96,87.48,,,,,No,"1,774.6",485.6,,,,,,0.9,,,,,,,,,,,,,985.00,,,13.00,4.00,4.00,4.00,100.00,10.00,14.00,8.00,9.00,100.00,3.00,3.00,4.00,100.00,2.00,2.00,72.00,59.00,78.00,8.00,3.00,3.00,4.00,100.00,1.00,,,,,,,,,,,,,,,,,,,,15.23,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6826.7,Mid Cap
Keyera Corp,KEY,2016,3.06,1.03,1.91,8.03,39.89,5.16,26.84,87.48,,,,,No,"1,707.6",490.9,,,,,,0.9,,,,,,,0.11,0.00,0.06,0.78,0.86,0.82,993.00,,,14.00,3.00,3.00,4.00,100.00,9.00,14.00,8.00,7.00,100.00,3.00,3.00,5.00,100.00,2.00,2.00,72.00,60.00,68.00,7.00,3.00,3.00,5.00,100.00,1.00,,,,,,,,,,,,,,,,,,,,15.01,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6826.7,Mid Cap
Keyera Corp,KEY,2017,5.11,4.81,1.91,8.41,57.90,50.05,36.06,87.48,6.1,2.4,0.1,3.4,Yes,"1,674.2",593.9,,0.08,"540,508.0",,,0.9,,,23.00,0.00,0.00,0.00,0.34,0.12,0.23,1.45,0.71,1.09,"1,000.00",,,15.00,4.00,4.00,4.00,100.00,11.00,13.00,10.00,7.00,98.59,3.00,3.00,4.00,100.00,2.00,4.00,72.00,53.00,69.00,9.00,3.00,3.00,4.00,100.00,1.00,,"1,592.2",1.00,"5,638.6",371.5,"1,211.8",206.0,,"1,732.1",18.9,"1,696.7",,,,,,,,,13.40,,,,Yes,Yes,Yes,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6826.7,Mid Cap
Keyera Corp,KEY,2018,5.33,5.54,1.91,8.00,58.48,51.77,36.06,87.48,5.9,1.6,0.1,2.1,Yes,"1,581.8",588.3,,0.06,"716,363.0",,,1.0,,,24.00,0.00,0.00,0.00,0.00,0.21,0.12,0.52,1.03,0.83,"1,040.00",,,16.00,3.00,3.00,4.00,100.00,10.00,14.00,9.00,7.00,100.00,3.00,3.00,4.00,100.00,2.00,3.00,72.00,54.00,70.00,8.00,3.00,3.00,4.00,100.00,1.00,,"1,504.8",1.00,"7,987.1",509.8,"1,505.0",150.5,,"1,353.5",24.2,"1,317.4",,,,,,,,,12.01,,,,Yes,Yes,Yes,,,0.2,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6826.7,Mid Cap
Keyera Corp,KEY,2019,5.03,4.94,1.91,7.88,66.48,53.19,52.42,93.74,5.9,2.1,0.1,3.2,Yes,"1,627.6",505.3,0.0,0.06,"730,231.0",,,1.0,,24.00,25.00,0.00,0.00,0.00,0.09,0.00,0.04,1.13,0.80,0.93,"1,074.00",,8.90,17.00,3.00,3.00,4.00,94.00,10.00,15.00,9.00,6.00,98.20,3.00,3.00,4.00,100.00,3.00,3.00,72.00,55.00,71.00,9.00,3.00,3.00,4.00,100.00,1.00,,"1,538.5",1.00,"8,257.0",633.9,181.9,147.4,,"1,881.7",15.6,"1,866.1",,,,,,,,,9.31,,,,Yes,Yes,Yes,,,0.3,,6.4,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6826.7,Mid Cap
Keyera Corp,KEY,2020,5.13,5.30,1.91,7.65,67.53,56.33,52.42,93.74,4.8,1.3,0.1,1.1,Yes,"1,509.2",304.9,1.5,0.05,"649,926.0",,,1.3,,22.00,24.00,0.00,0.00,0.00,0.31,0.00,0.20,0.51,1.42,0.82,959.00,,17.90,18.00,3.00,3.00,4.00,100.00,10.00,11.00,9.00,6.00,100.00,3.00,3.00,5.00,100.00,3.00,3.00,72.00,56.00,72.00,8.00,3.00,3.00,5.00,100.00,1.00,,"1,401.5",1.00,"7,235.2",595.3,182.8,146.2,,"1,523.7",6.5,"1,517.2",,,,,,,,,7.71,,,,Yes,Yes,Yes,,,0.4,,5.3,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,6826.7,Mid Cap
Keyera Corp,KEY,2021,5.17,5.16,1.91,8.04,61.33,51.46,38.66,93.74,4.1,2.2,0.1,1.2,Yes,"1,492.8",270.5,1.5,0.05,"782,147.0",,,1.5,,21.00,24.00,0.00,0.00,0.00,0.00,0.06,0.04,0.82,0.47,0.59,"1,005.00",,,19.00,3.00,3.00,4.00,100.00,10.00,6.00,9.00,6.00,100.00,3.00,3.00,5.00,100.00,2.00,3.00,72.00,55.00,69.00,9.00,3.00,3.00,5.00,100.00,1.00,,"1,386.6",1.00,"8,210.1",655.1,183.4,121.1,,"1,696.5",49.2,"1,647.3",,,,,,,,,7.26,,,,Yes,Yes,Yes,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6826.7,Mid Cap
Keyera Corp,KEY,2022,5.03,4.89,1.91,7.96,67.63,56.63,52.42,93.74,2.8,1.1,0.1,1.4,Yes,"1,486.4",246.8,2.7,0.05,"769,507.0",,,2.0,,25.00,24.00,0.00,0.00,0.00,0.00,0.02,0.02,0.85,0.56,0.62,"1,098.00",,10.70,20.00,3.00,3.00,4.00,100.00,11.00,4.00,10.00,7.00,100.00,4.00,4.00,3.00,100.00,2.00,4.00,72.00,50.00,70.00,10.00,4.00,4.00,3.00,100.00,1.00,,"1,386.6",1.00,"8,135.0",456.0,235.2,129.4,,"1,225.4",147.8,"1,077.5",,,,,,,,,7.10,,,,Yes,Yes,Yes,,0.0,0.0,,4.5,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6826.7,Mid Cap
Keyera Corp,KEY,2023,,,,,,,,,2.9,0.6,0.1,1.3,Yes,"1,504.2",183.1,,0.00,"806,579.0",,,1.9,,26.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.39,0.23,"1,155.00",,11.00,21.00,3.00,3.00,4.00,100.00,11.00,5.00,10.00,6.00,100.00,4.00,4.00,3.00,100.00,2.00,4.00,72.00,51.00,71.00,10.00,4.00,4.00,3.00,100.00,1.00,,"1,420.9",1.00,"8,472.2",,262.9,255.6,,859.7,16.3,843.4,,,,,,,,,,,,,Yes,Yes,Yes,,0.0,0.0,,7.3,,,,,,,,,46.4,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6826.7,Mid Cap
Keyera Corp,KEY,2024,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6826.7,Mid Cap
LG Chem Ltd,051910,2009,,,,,34.27,3.26,15.27,84.11,,,,,No,,,,,,,Yes,,,,,,,,,,,,,,"8,337.00",,,5.00,3.00,3.00,3.00,88.89,7.00,67.00,5.00,9.00,95.00,0.00,,,,0.00,0.00,,54.00,65.00,4.00,2.00,1.00,0.00,,3.00,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,Yes,,10.5,,No,Yes,Yes,No,Yes,,,Yes,,No,Yes,Yes,,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13058.8,Large Cap
